base_index,length,fidelity_min,fidelity_max,ambiguity_diameter,minimax_abs_lower_bound,bayes_mae_lower_bound,exact_marginal_fidelity,exact_composition_grid_mae,fraction_grid_error_above_0p05
171,24,0.46806036575936427,0.6231374748961147,0.15507710913675044,0.07753855456837522,0.03462029732392435,0.7917800968449527,0.28581502920088286,1.0
172,24,0.5424260811357065,0.705529524745286,0.1631034436095795,0.08155172180478976,0.03783340824601493,0.7986723256527861,0.21411831038563997,1.0
173,16,0.5541593590379397,0.6335408455856093,0.07938148654766963,0.039690743273834816,0.02159104535402257,0.8751564150100664,0.28299686252508965,1.0
174,16,0.5320878217977398,0.6542047023601751,0.1221168805624353,0.06105844028121765,0.03261711060052524,0.9022745988544401,0.30627577336488404,1.0
175,16,0.5887131348772283,0.6410464461188036,0.05233331124157525,0.026166655620787627,0.014630199555766861,0.8785131228248448,0.2682460786201286,1.0
176,24,0.4824640101107939,0.590873776114271,0.10840976600347718,0.05420488300173859,0.022846242804835232,0.8063996199203214,0.2983461688057268,1.0
177,8,0.787331722169061,0.8365749767835424,0.049243254614481424,0.024621627307240712,0.013107467481330263,0.9567031920489475,0.14356672427546435,1.0
178,16,0.5194411418462904,0.6220935194536492,0.10265237760735879,0.051326188803679396,0.027719915643512713,0.8751363153428018,0.3043290423631883,1.0
179,24,0.5127094982095866,0.5658310871614691,0.05312158895188257,0.026560794475941285,0.010750126976704159,0.8369170443690424,0.310253614197818,1.0
180,8,0.824471129946194,0.8728404921002026,0.048369362154008666,0.024184681077004333,0.012852226686140686,0.9644722645559666,0.11416979813625802,1.0
181,8,0.7424837606827599,0.8073253498116406,0.06484158912888072,0.03242079456444036,0.017246692113142795,0.9477822127420517,0.17101415569019843,1.0
182,8,0.7473531050241076,0.8089677980882517,0.06161469306414413,0.030807346532072066,0.016392179206893984,0.945361786304175,0.16551080130087706,1.0
183,16,0.5497211584851388,0.648504524593174,0.09878336610803518,0.04939168305401759,0.026663041936710187,0.8922541318255934,0.2929698750049017,1.0
184,24,0.49666871767575316,0.6421142440831218,0.14544552640736863,0.07272276320368432,0.03309591160608301,0.8078023278872057,0.2748416142595637,1.0
185,8,0.7488643210711077,0.8055387661131963,0.05667444504208863,0.028337222521044314,0.015079526642540404,0.9438842553467937,0.1652361755555443,1.0
186,24,0.5219722623420802,0.5927682894910685,0.07079602714898836,0.03539801357449418,0.013547387225828777,0.8378195950097272,0.2989688799552129,1.0
187,8,0.6861054800637065,0.7632281592377133,0.07712267917400673,0.03856133958700336,0.02051825827059046,0.9317505582277734,0.20496139747663242,1.0
188,16,0.4922926725027128,0.6212320680659762,0.1289393955632634,0.0644696977816317,0.034497384564074314,0.8977907344504974,0.33862209685810374,1.0
189,8,0.6187508799455986,0.7129320615181157,0.09418118157251709,0.047090590786258546,0.025048853886749475,0.915421605226812,0.2468677210811097,1.0
190,8,0.678242894614221,0.7481945708692048,0.06995167625498377,0.03497583812749189,0.01862426265391947,0.9271132483150668,0.212321079279915,1.0
191,16,0.5836928595907016,0.7255689519066366,0.141876092315935,0.0709380461579675,0.037561772975915904,0.9339191081060684,0.27266981660154044,1.0
